Trial,Word1,Word2,Key,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_1.started,press_space_1.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,text_2.started,press_space_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text_3.started,press_space_3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_4.started,press_space_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_5.started,press_space_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_6.started,press_space_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_7.started,press_space_7.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,word1.started,word2.started,key_press.started,text_fixation.started,word1.stopped,word2.stopped,text_fixation.stopped,key_press.stopped,key_press.keys,key_press.corr,key_press.rt,text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.1771290329998,23.1771290329998,23.1771290329998,space,6.886192956997547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
,,,,,,,,,,,,,30.113609205000103,30.113609205000103,30.113609205000103,space,2.3934107549939654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
,,,,,,,,,,,,,,,,,,32.5447958710065,32.5447958710065,32.5447958710065,space,2.513382951990934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,35.083917579002446,35.083917579002446,35.083917579002446,space,1.5762040919944411,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.68077498500497,36.68077498500497,36.68077498500497,space,2.670239697989018,,,,,,,,,,,,,,,,,,,,,,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.373189655001624,39.373189655001624,39.373189655001624,space,2.0600240519925137,,,,,,,,,,,,,,,,,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.456559657999605,41.456559657999605,41.456559657999605,space,6.670657210997888,,,,,,,,,,,,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
1,joke,laughter,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.22068199200294,48.22068199200294,48.22068199200294,50.64404762200138,50.71733864100679,50.71733864100679,52.16214819600282,52.16214819600282,1,1,1.6855633329978446,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
2,loss,grief,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.16214819600282,52.16214819600282,52.16214819600282,54.64858070500486,54.663659792000544,54.663659792000544,56.16401489900454,56.144313587006764,1,1,1.751160441992397,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
3,kite,justice,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.16401489900454,56.16401489900454,56.16401489900454,58.65359983200324,58.66669408100279,58.66669408100279,60.16945413299982,60.14829211000324,None,0,,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
4,order,chaos,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.16945413299982,60.16945413299982,60.16945413299982,62.66018756300036,62.67511173100502,62.67511173100502,64.16408618200512,64.16408618200512,1,1,2.235557871994388,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
5,love,hate,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.16408618200512,64.16408618200512,64.16408618200512,66.64706706900324,66.66232632000174,66.66232632000174,68.15700382400246,68.15700382400246,None,0,,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
6,smile,happiness,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.15700382400246,68.15700382400246,68.15700382400246,70.64669698800571,70.66443651200098,70.66443651200098,72.16003788000671,72.13475027200184,1,1,1.268416711995087,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
7,trophy,spinach,2,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.16003788000671,72.16003788000671,72.16003788000671,74.64120962800371,74.66921255600028,74.66921255600028,76.13643589300045,76.13643589300045,2,1,1.0468483169897809,,reldom2_s041,001,2025-03-20_13h35.14.957,Implicit_Encoding_Instructions,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.13643589300045,,,,,,,
