participant,FO_audwhat_RT,FO_audwhere_RT,FO_viswhat_RT,FO_viswhere_RT,SO_audwhat_RT,SO_audwhere_RT,SO_viswhat_RT,SO_viswhere_RT,FO_audwhat_accuracy,FO_audwhere_accuracy,FO_viswhat_accuracy,FO_viswhere_accuracy,SO_audwhat_accuracy,SO_audwhere_accuracy,SO_viswhat_accuracy,SO_viswhere_accuracy,cluster
reldom2_s001,1.015675147906137,1.7207220465312076,1.296370255156063,1.341634260375045,0.8089441323123197,1.6064543200000685,1.2512784035623667,1.1280003749999423,1.0,0.78125,1.0,0.96875,1.0,0.75,0.875,1.0,0
reldom2_s002,1.3492896406553427,1.356663569905379,1.1656477667814897,1.0583897080323954,1.4616677736241854,1.5849348018116416,1.3223617108752705,1.0958120826876439,0.75,0.8125,0.9375,0.9354838709677419,0.875,0.6875,0.9375,0.875,0
reldom2_s003,1.0774594512818112,1.1495726493753864,0.8778426608751175,0.9024439318750126,1.1034338667504358,1.0358213356254282,0.8329456790625045,0.7663901506251136,0.9375,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1
reldom2_s004,0.9601713866876196,1.1420653628126018,1.0301007719064756,0.8328032221564285,1.0521185288126276,1.008416145562677,0.955325927062745,0.7079794161250845,0.96875,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1
reldom2_s005,1.505763974812183,1.2592969682809496,1.1547930168434846,1.0041161133123495,1.255591054249635,0.9991822758122453,0.8956210153122584,0.8222832970622562,0.8125,0.9375,0.96875,0.9375,0.9375,1.0,0.9375,0.875,0
reldom2_s006,1.0141700982812338,1.012638977562439,0.965044728799982,0.8761129758063215,1.0673379993750274,0.9938968642498054,0.7591716584999517,0.8376906588748341,0.71875,1.0,1.0,0.8709677419354839,0.9375,1.0,0.9375,0.9375,1
reldom2_s007,1.2802187365938806,1.3561951480937893,1.2739226754376176,1.0763217912500949,1.0624341689376138,1.1599649893126411,0.9104383432501635,0.999142564687574,0.9375,0.96875,0.96875,0.96875,0.9375,1.0,0.9375,1.0,0
reldom2_s008,1.3120031401874144,1.4574111582189175,1.5018721376558233,1.6747266991376129,1.192298806999986,1.3382277391875732,1.2530313511869622,1.1205228458748593,0.90625,0.90625,1.0,0.6206896551724138,0.9375,1.0,0.9375,0.625,0
reldom2_s009,1.027517886312836,1.5679937434061486,1.2147170124689808,1.312487952781197,1.1757185804377457,1.6269258799998454,1.0341493458752211,1.3472313383124117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
reldom2_s010,1.203981951531297,1.5021010257499867,0.9672617136452719,0.9908595091251016,1.4284999293124798,1.3064103487500205,0.7860717993750086,1.0522633515626012,0.8125,1.0,0.9354838709677419,1.0,0.6875,0.875,1.0,0.875,0
